{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416711172000L, 'id': 4998, 'name': 'Roozter'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1416996153000L, 'id': 4923, 'name': 'Sin'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 2, 'summonerLevel': 30, 'revisionDate': 1410424570000L, 'id': 5555, 'name': 'Tsoris'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 12, 'summonerLevel': 30, 'revisionDate': 1401716198000L, 'id': 1767, 'name': 'Pharun'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1417044884000L, 'id': 15311, 'name': 'BaronTobasco'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416711172000L, 'id': 4998, 'name': 'Roozter'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1416996153000L, 'id': 4923, 'name': 'Sin'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 2, 'summonerLevel': 30, 'revisionDate': 1410424570000L, 'id': 5555, 'name': 'Tsoris'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 12, 'summonerLevel': 30, 'revisionDate': 1401716198000L, 'id': 1767, 'name': 'Pharun'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1417044884000L, 'id': 15311, 'name': 'BaronTobasco'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1417031459000L, 'id': 8115, 'name': 'Eggy'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416832638000L, 'id': 70899, 'name': 'Lelith'} 'mostUsedChampion': Shen  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1407323899000L, 'id': 6847, 'name': 'PacketLoss'} 'mostUsedChampion': Shen  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
